id,ts,node,crop,temp,humidity,soil,threshold,irrigate
1,2026-07-02T15:27:39+03:00,4d,maize,27.7,49.5,3,45,1
2,2026-07-02T15:27:56+03:00,4d,maize,27.8,50.0,2,45,1
3,2026-07-02T15:28:07+03:00,4d,maize,27.7,49.0,2,45,1
4,2026-07-02T15:28:24+03:00,4d,maize,27.7,49.8,2,45,1
5,2026-07-02T15:28:37+03:00,4d,maize,27.8,49.5,2,45,1
6,2026-07-02T15:28:48+03:00,4d,maize,28.0,50.3,2,45,1
7,2026-07-02T15:29:02+03:00,4d,maize,28.1,49.6,2,45,1
8,2026-07-02T15:29:20+03:00,4d,maize,28.0,50.1,2,45,1
9,2026-07-02T15:29:39+03:00,4d,maize,28.1,49.3,2,45,1
10,2026-07-02T15:29:49+03:00,4d,maize,28.1,48.6,2,45,1
11,2026-07-02T15:30:08+03:00,4d,maize,28.2,48.8,2,45,1
12,2026-07-02T15:30:20+03:00,4d,maize,28.3,48.8,2,45,1
13,2026-07-02T15:30:37+03:00,4d,maize,28.2,48.3,2,45,1
14,2026-07-02T15:30:53+03:00,4d,maize,28.2,48.4,27,45,1
15,2026-07-02T15:31:07+03:00,4d,maize,28.2,48.0,35,45,1
16,2026-07-02T15:31:19+03:00,4d,maize,28.1,48.7,41,45,1
17,2026-07-02T15:31:36+03:00,4d,maize,28.2,48.0,46,45,0
18,2026-07-02T15:31:49+03:00,4d,maize,28.4,48.0,48,45,0
19,2026-07-02T15:32:09+03:00,4d,maize,28.3,48.0,50,45,0
20,2026-07-02T15:32:28+03:00,4d,maize,28.2,48.8,49,45,0
21,2026-07-02T15:32:37+03:00,4d,maize,28.2,49.5,50,45,0
22,2026-07-02T15:32:52+03:00,4d,maize,28.4,49.7,50,45,0
23,2026-07-02T15:33:09+03:00,4d,maize,28.4,49.6,49,45,0
24,2026-07-02T15:33:20+03:00,4d,maize,28.3,50.0,49,45,0
25,2026-07-02T15:33:33+03:00,4d,maize,28.3,50.6,50,45,0
26,2026-07-02T15:33:51+03:00,4d,maize,28.2,51.0,49,45,0
27,2026-07-02T15:34:08+03:00,4d,maize,28.4,51.0,67,45,0
28,2026-07-02T15:34:20+03:00,4d,maize,28.4,51.0,77,45,0
29,2026-07-02T15:34:37+03:00,4d,maize,28.3,51.0,82,45,0
30,2026-07-02T15:34:47+03:00,4d,maize,28.1,50.6,87,45,0
31,2026-07-02T15:35:06+03:00,4d,maize,28.1,51.0,88,45,0
32,2026-07-02T15:35:22+03:00,4d,maize,28.1,51.0,90,45,0
33,2026-07-02T15:35:40+03:00,4d,maize,27.9,51.0,89,45,0
34,2026-07-02T15:36:11+03:00,4d,beans,27.6,48.9,2,40,1
35,2026-07-02T15:36:23+03:00,4d,beans,27.8,49.1,2,40,1
36,2026-07-02T15:36:42+03:00,4d,beans,27.7,49.0,2,40,1
37,2026-07-02T15:37:03+03:00,4d,beans,27.6,49.5,2,40,1
38,2026-07-02T15:37:16+03:00,4d,beans,27.5,49.9,2,40,1
39,2026-07-02T15:37:32+03:00,4d,beans,27.6,49.7,2,40,1
40,2026-07-02T15:37:48+03:00,4d,beans,27.5,49.3,2,40,1
41,2026-07-02T15:37:57+03:00,4d,beans,27.6,49.7,3,40,1
42,2026-07-02T15:38:12+03:00,4d,beans,27.8,49.9,2,40,1
43,2026-07-02T15:38:29+03:00,4d,beans,27.7,50.6,2,40,1
44,2026-07-02T15:38:46+03:00,4d,beans,27.5,50.5,1,40,1
45,2026-07-02T15:38:56+03:00,4d,beans,27.4,49.7,2,40,1
46,2026-07-02T15:39:10+03:00,4d,beans,27.2,49.6,2,40,1
47,2026-07-02T15:39:21+03:00,4d,beans,27.4,50.2,33,40,1
48,2026-07-02T15:39:40+03:00,4d,beans,27.4,51.0,40,40,0
49,2026-07-02T15:39:55+03:00,4d,beans,27.3,50.6,47,40,0
50,2026-07-02T15:40:05+03:00,4d,beans,27.3,49.6,48,40,0
51,2026-07-02T15:40:23+03:00,4d,beans,27.1,49.8,50,40,0
52,2026-07-02T15:40:37+03:00,4d,beans,27.3,50.2,50,40,0
53,2026-07-02T15:40:55+03:00,4d,beans,27.3,49.6,49,40,0
54,2026-07-02T15:41:42+03:00,4d,sweet_potato,27.3,48.8,2,30,1
55,2026-07-02T15:41:57+03:00,4d,sweet_potato,27.2,48.7,2,30,1
56,2026-07-02T15:42:09+03:00,4d,sweet_potato,27.1,49.5,2,30,1
57,2026-07-02T15:42:25+03:00,4d,sweet_potato,27.1,49.8,2,30,1
58,2026-07-02T15:42:46+03:00,4d,sweet_potato,27.0,50.0,3,30,1
59,2026-07-02T15:42:55+03:00,4d,sweet_potato,27.1,49.1,2,30,1
60,2026-07-02T15:43:13+03:00,4d,sweet_potato,27.1,48.6,2,30,1
61,2026-07-02T15:43:29+03:00,4d,sweet_potato,27.2,48.0,2,30,1
62,2026-07-02T15:43:40+03:00,4d,sweet_potato,27.2,48.0,3,30,1
63,2026-07-02T15:43:58+03:00,4d,sweet_potato,27.3,48.4,1,30,1
64,2026-07-02T15:44:15+03:00,4d,sweet_potato,27.5,48.1,2,30,1
65,2026-07-02T15:44:27+03:00,4d,sweet_potato,27.4,48.0,2,30,1
66,2026-07-02T15:44:44+03:00,4d,sweet_potato,27.3,48.0,2,30,1
67,2026-07-02T15:45:00+03:00,4d,sweet_potato,27.3,48.0,1,30,1
68,2026-07-02T15:45:11+03:00,4d,sweet_potato,27.5,48.6,19,30,1
69,2026-07-02T15:45:31+03:00,4d,sweet_potato,27.7,48.0,30,30,0
70,2026-07-02T15:45:48+03:00,4d,sweet_potato,27.8,48.0,38,30,0
71,2026-07-02T15:45:59+03:00,4d,sweet_potato,27.7,48.5,43,30,0
72,2026-07-02T15:46:18+03:00,4d,sweet_potato,27.8,48.5,47,30,0
73,2026-07-02T15:46:34+03:00,4d,sweet_potato,27.7,48.0,48,30,0
74,2026-07-02T15:46:46+03:00,4d,sweet_potato,27.6,48.6,49,30,0
75,2026-07-02T15:47:03+03:00,4d,sweet_potato,27.5,49.4,50,30,0
76,2026-07-02T15:47:15+03:00,4d,sweet_potato,27.4,50.1,49,30,0
